movie_id,avg_watch_time,completion_rate,ratings_count,avg_rating,hit
1,82,0.67,6176,3.7,1
2,94,0.98,7178,4.2,1
3,49,0.63,2095,3.4,0
4,84,0.81,3398,4.4,0
5,60,0.57,1076,3.6,0
6,66,0.75,3270,4.3,1
7,86,0.49,924,3.4,0
8,108,0.8,9889,4.3,1
9,38,0.57,562,3.7,0
10,128,0.89,8621,4.6,1
11,126,0.83,8000,4.8,1
12,33,0.53,1110,3.6,0
13,30,0.61,566,3.7,0
14,129,0.79,5417,4.9,1
15,43,0.55,1897,3.2,0
16,42,0.61,1396,3.7,0
17,92,0.68,5923,4.6,0
18,109,0.79,9044,5.0,1
19,100,0.89,6579,4.4,1
20,97,0.88,3997,4.2,0
21,42,0.61,1620,3.4,0
22,98,0.86,7961,4.2,1
23,112,0.92,9182,4.4,1
24,48,0.7,1138,3.4,0
25,54,0.69,1784,3.6,0
26,46,0.57,1751,4.0,0
27,137,0.91,8624,4.3,1
28,85,0.8,5065,4.2,0
29,60,0.6,2395,4.0,0
30,80,0.76,6614,4.3,0
31,42,0.57,856,2.9,0
32,113,0.9,4229,4.4,1
33,108,0.88,12045,4.1,1
34,124,0.95,11674,4.7,1
35,53,0.57,500,3.7,0
36,82,0.75,4521,4.0,0
37,93,0.76,6921,4.0,0
38,60,0.65,2154,3.1,0
39,64,0.47,1849,3.8,0
40,114,0.87,10111,4.6,1
41,71,0.64,3240,4.0,1
42,58,0.69,1494,3.0,0
43,70,0.75,3759,4.3,1
44,40,0.64,1720,3.3,0
45,141,0.85,10288,4.8,1
46,59,0.6,2496,3.6,0
47,55,0.54,1364,3.0,0
48,34,0.66,1748,3.2,0
49,50,0.43,891,3.5,0
50,68,0.58,721,3.6,0
51,129,0.83,8601,4.6,1
52,93,0.82,3534,4.3,1
53,55,0.69,1809,3.0,0
54,43,0.54,916,3.8,0
55,97,0.75,3552,4.0,1
56,56,0.43,1693,3.8,0
57,108,0.92,13808,4.4,1
58,59,0.74,3418,4.2,1
59,155,0.91,8921,4.7,1
60,58,0.36,2198,3.6,0
61,52,0.72,2386,3.7,0
62,44,0.76,500,4.0,0
63,64,0.54,2296,2.9,0
64,69,0.53,500,3.2,0
65,51,0.5,1234,3.4,0
66,115,0.98,3837,4.5,1
67,49,0.64,2000,4.2,0
68,65,0.76,8093,4.1,0
69,78,0.7,6501,4.1,0
70,85,0.75,5880,4.6,0
71,101,0.78,6620,4.5,0
72,78,0.59,1297,2.9,0
73,82,0.76,4316,3.9,1
74,70,0.76,2236,3.9,0
75,56,0.62,1615,2.8,0
76,71,0.73,5727,4.0,0
77,52,0.59,1945,3.9,0
78,42,0.55,2503,4.1,0
79,116,0.83,7507,4.0,1
80,101,0.91,7688,4.4,1
81,62,0.79,2000,4.1,1
82,48,0.56,2417,3.8,0
83,99,0.87,13021,4.0,1
84,92,0.58,1834,3.7,0
85,89,0.85,5284,4.4,0
86,121,0.82,7705,4.5,1
87,55,0.72,2154,4.1,1
88,59,0.6,2382,3.5,0
89,74,0.75,2000,3.7,1
90,119,0.93,10836,4.6,1
91,74,0.78,6271,4.3,0
92,85,0.58,4822,4.3,0
93,53,0.6,648,3.3,0
94,46,0.58,2189,3.4,0
95,103,0.89,7425,4.6,1
96,131,0.82,11573,4.5,1
97,77,0.74,6199,4.4,0
98,138,0.88,7158,4.5,1
99,46,0.64,1161,3.7,0
100,34,0.61,1791,3.6,0
101,93,0.81,2742,4.3,0
102,58,0.4,1596,3.6,0
103,111,0.9,8694,4.3,1
104,60,0.46,1408,4.1,0
105,110,0.88,9438,4.6,1
106,116,0.87,5629,4.4,1
107,70,0.68,3065,3.6,1
108,110,0.97,10464,4.7,1
109,79,0.73,3643,3.6,1
110,110,0.81,12123,4.6,1
